sent;sentcorrect;level
Dieser Mann sieht außerdem, dass ein Junge Brot und Tabak hat.;Dieser Mann sieht außerdem, dass der Junge Brot und Tabak hat.;1
Deshalb will Jürgen seinen toten Bruder bewahren, der unter den Mauerresten liegen.;Deshalb will Jürgen seinen toten Bruder bewahren, der unter den Mauerresten liegt.;2
"Es gibt eine Verkörperungen im Text (Die Schuttwüste döste ; Das hohle Fenster in der vereinsamten Mauer gähnte blaurot voll früher Abendsonne). Man kann auch auf die Emotionen und Gefühle des Jungen achten.";"Es gibt Verkörperungen im Text (Die Schuttwüste döste ; Das hohle Fenster in der vereinsamten Mauer gähnte blaurot voll früher Abendsonne). Man kann auch auf die Emotionen und Gefühle des Jungen achten.";2
"Es gibt Verkörperungen im Text (Die Schuttwüste döste ; Das hohle Fenster in der vereinsamten Mauer gähnte blaurot voll früher Abendsonne) Man kann auch auf die Emotionen und Gefühle des Jungen achten.";"Es gibt Verkörperungen im Text (Die Schuttwüste döste ; Das hohle Fenster in der vereinsamten Mauer gähnte blaurot voll früher Abendsonne). Man kann auch auf die Emotionen und Gefühle des Jungen achten.";1
Levka’s Lippen sind volle.;Levka’s Lippen sind voll.;1
Auf diesem Bild Levka runzelt die Stirn.;Auf diesem Bild runzelt Levka die Stirn.;2
Im Allgemeinein ist Levka’s Gesicht hager und trauriges.;Im Allgemeinein ist Levka’s Gesicht hager und traurig.;2
Das ist meiner Mutters Geschenk.;Das ist Geschenk meiner Mutter.;2
Der Mann hat eine ernste Miene,raue Haut, ein schmales Gesicht, einen dichten Bart und eine Grosse, gerade Nase.;Der Mann hat eine ernste Miene,raue Haut, ein schmales Gesicht, einen dichten Bart und eine große, gerade Nase.;1
Er hat duene Augenbrauen und blasse, zusammenpressene Lippen.;Er hat duene Augenbrauen und blasse, zusammengepresste Lippen.;2
Sein Stirn ist niedrig und dreist.Ausserdem hat er eine gebeugte Haltung, einen dicken Hals und einen grossen Mund.Er ist breitschultrig.;Seine Stirn ist niedrig und dreist.Ausserdem hat er eine gebeugte Haltung, einen dicken Hals und einen grossen Mund.Er ist breitschultrig.;2
Unter dem Hat hat der Mann schwarze oder graue Haare.;Unter dem Hut hat der Mann schwarze oder graue Haare.;3
Sein Augenbrauen sind breit und niedrig.;Seine Augenbrauen sind breit und niedrig.;2
Seine Augenbrauen sind breit und niedrige.;Seine Augenbrauen sind breit und niedrig.;2
Man kann nicht Mund des Mannes sehen wegen wegen seines dicken und langen Bartes.;Man kann nicht den Mund des Mannes sehen wegen wegen seines dicken und langen Bartes.;1
Man kann nicht den Mund des Mannes sehen wegen seines dickes und langes Bart.;Man kann nicht den Mund des Mannes sehen wegen wegen seines dicken und langen Bartes.;2
Sein Kopf ist gesenkt und sein Hals kann man nicht sehen.;Sein Kopf ist gesenkt und seinen Hals kann man nicht sehen.;2
Vielleicht hat er harte Haut.;Vielleicht hat er gegerbte Haut.;2
Sein Stirn ist gerunzelt und er hat Falten unter den Augen.;Seine Stirn ist gerunzelt und er hat Falten unter den Augen.;2
Seine Stirn ist runzelt und er hat Falten unter den Augen.;Seine Stirn ist gerunzelt und er hat Falten unter den Augen.;2
Seine Stirn ist gerunzelt und er hat Falten unter die Augen.;Seine Stirn ist gerunzelt und er hat Falten unter den Augen.;2
Er trägt ein Hemd und ein Hut.;Er trägt ein Hemd und einen Hut.;2
Ich glaube, dass er einen ernsten Charakter hat und er fleißig ist.;Ich glaube, dass einen ernsten Charakter hat und er fleißig ist.;1
Er ist ein etwa dreissigjaehriger Mann mit ein hageres Gesicht.;Er ist ein etwa dreissigjaehriger Mann mit einem hageren Gesicht.;2
Er hat ein kurzen Hals und ist schmalschultrig.;Er hat einen kurzen Hals und ist schmalschultrig.;2
Was mich betrifft, kann ich mich als zurückhaltender Typ bezeichnen.;Was mich betrifft, kann ich mich als einen zurückhaltenden Typ bezeichnen.;1
Darin offenbare ich mich und benehme mich wirklich.;Darin offenbare ich mich und benehme mich ungezwungen.;3
Ein Mann namens Ralph kam zu ihr und begann zu lesen.;Ein Mann namens Ralph kam hinzu und begann zu lesen.;2
Sie löste bei ihm traurige Emotionen aus, er machte sich Sorgen um die Charaktere.;Es löste bei ihm traurige Emotionen aus, er machte sich Sorgen um die Charaktere.;2
Als das Buch las, lachte er und las es, verließ er mit guter Laune.;Als das Buch las, lachte er und verließ er mit guter Laune.;3
Als erdas Buch las, lachte er und verließ er mit guter Laune.;Als das Buch las, lachte er und verließ er mit guter Laune.;2
Er begann dieses Buch zu lesen, aber es war für ihn so langweilig, dass er eingeschlafen war.;Er begann dieses Buch zu lesen, aber es war für ihn so langweilig, dass er eingeschlafen ist.;2
Diese Bluse ist Jahr alt.;Diese Bluse ist ein Jahr alt.;2
Das ist kein Geschenk, ich habe für es selbst bezahlt.;Das ist kein Geschenk, ich habe es selbst bezahlt.;2
Ich habe dieses Kleid schon seit zwei Jahre.;Ich habe dieses Kleid schon seit zwei Jahren.;1
Eigentlich finde ich dieses Kled sehr romantisch und süß.;Eigentlich finde ich dieses Kleid sehr romantisch und süß.;2
Eigentlich finde ich dieses Kleid sehr romantich und süß.;Eigentlich finde ich dieses Kleid sehr romantisch und süß.;1
Seine zerknitterte Mütze ist das erste das in die Augen auffällt.;Seine zerknitterte Mütze ist was erste das in die Augen auffällt.;2
Seine zerknitterte Mütze ist was erste das Fallt in die Augen.;Seine zerknitterte Mütze ist was erste das in die Augen auffällt.;2
Er sitzt mit eine eisernen Miene.;Er sitzt mit einer eisernen Miene.;2
Er sitzt mit einer eiserner Miene.;Er sitzt mit einer eisernen Miene.;2
Er hat Faltige Haut, ein Bischen gewölbte Stirn, dicke lockige Haare und Augenbrauen, eine raue Nase und trübe Augen.;Er hat faltige Haut Haut, ein Bischen gewölbte Stirn, dicke lockige Haare und Augenbrauen, eine raue Nase und trübe Augen.;1
Er beugte den Kopf und raucht eine Pfeife.;Er beugt den Kopf und raucht eine Pfeife.;2
Er beugt den Kopf und rauchte eine Pfeife.;Er beugt den Kopf und raucht eine Pfeife.;2
Am besten an dem Kleidungsstück gefällt mir die Jeans, Pullovers und T-Shirts.;Aus den Kleidungsstücken gefallen mir am besten die Jeans, Pullovers und T-Shirts.;2
Ich habe es im Einkaufszentrum gekauft.;Ich habe sie im Einkaufszentrum gekauft.;2
Ich habe es vor zwei Wochen gekauft.;Ich habe sie vor zwei Wochen gekauft.;2
Ich habe es gestern für einen Spaziergang angezogen.;Ich habe sie gestern für einen Spaziergang angezogen.;2
Es ist eine sehr bequeme Kleidung.;Sie eine sehr bequeme Kleidung.;2
Sie sehr bequeme Kleidung.;Sie eine sehr bequeme Kleidung.;1
Levka der Dummer Jetyt möchte ich die Skizze von Levka Dummer beschreiben.;Levka der Dummer Jetzt möchte ich die Skizze von Levka Dummer beschreiben.;2
Levka der Dummer Jetzt möchte ich die Skiyye von Levka Dummer beschreiben.;Levka der Dummer Jetzt möchte ich die Skizze von Levka Dummer beschreiben.;2
Levka ist ein Mann im Alter von 40-50 Jahren und er arbeitet als der Treidler.;Levka ist ein Mann im Alter von 40-50 Jahren und er arbeitet als Treidler.;1
Geschmäcker Peter ist ein Mann von normaler Erscheinung.;Geschmäcker Peter ist ein Mann mit durchschnittlichem Aussehen.;2
Seine Augen wurden groß, denn er war erschrocken über das, was er in dem Buch gelesen hatte, und eine Träne lief über seine eingefallene Wange.;Seine Augen wurden groß, denn er war erschrocken darüber, was er in dem Buch gelesen hatte, und eine Träne lief über seine eingefallene Wange.;2
Christian setzte sich ebenfalls in einen Sessel und las mit einem Lächeln im Gesicht ein Buch.;Christian setzte sich ebenfalls in einen Sessel und las das Buch mit einem Lächeln im Gesicht.;2
Mathis Kopf war nicht glatt, er hatte glatt gekämmtes Haar.;Mathias Kopf war nicht glatt, er hatte glatt gekämmtes Haar.;1
Ich habe viele Kleiden, aber das gafaellt mir am besten.;Ich habe viele Kleider, aber das gafaellt mir am besten.;2
Ich habe es als Geschenk bekommt, als mein Opa aus Ausland gekommen ist.;Ich habe es als Geschenk bekommen, als mein Opa aus Ausland gekommen ist.;2
Ich habe es als Geschenk bekommen, wenn mein Opa aus Ausland gekommen ist.;Ich habe es als Geschenk bekommen, als mein Opa aus Ausland gekommen ist.;2
Ich ziehe es oft an, besonders aud den Festen und Feiertagen.;Ich ziehe es oft an, besonders zu den Festen und Feiertagen.;3
Es ist schon 2 Jahre alt, aber ich mag das genauso gern wie eher.;Es ist schon 2 Jahre alt, aber ich mag das genauso gern wie früher.;2
Der Soldat hat das ansprechende Äußere: offene, gutmutige Augen und gerade Nase, ein Lächeln spielt um s Lippen.;Der Soldat hat das ansprechende Äußere: offene, gutmutige Augen und gerade Nase, ein Lächeln spielt um seine Lippen.;1
Seine breite Stirn ist mit dem Hut bedeckt, deshalb können wir nicht, seinen wohlgeformten Körper sehen.;Seine breite Stirn ist mit dem Hut bedeckt deshalb können wir nicht, seinen wohlgeformten Körper sehen.;2
Seine breite Stirn ist mit dem Hut bedeckt deshalb können wir nicht, seinen wohlgeformter Körper sehen.;Seine breite Stirn ist mit dem Hut bedeckt deshalb können wir nicht, seinen wohlgeformten Körper sehen.;2
Seine breite Stirn ist mit dem Hut bedeckt deshalb können wir nicht, seinen wohlgeformten Kops sehen.;Seine breite Stirn ist mit dem Hut bedeckt deshalb können wir nicht, seinen wohlgeformten Körper sehen.;3
Ich habe nicht so viel Kleider, und ich weiß nicht, warum ich es so gern mag.;Ich habe nicht so viele Kleider, und ich weiß nicht, warum ich es so gern mag.;2
Ich habe nicht so viele Kleider und ich weiß nicht, warum ich es so gern mag.;Ich habe nicht so viele Kleider, und ich weiß nicht, warum ich es so gern mag.;1
Ich habe nicht so viele Kleider, und ich weiß nicht, darum ich es so gern mag.;Ich habe nicht so viele Kleider, und ich weiß nicht, warum ich es so gern mag.;2
Ich habe nicht so viele Kleider, und ich weiß nicht, warum ichmag es so gern.;Ich habe nicht so viele Kleider, und ich weiß nicht, warum ich es so gern mag.;2
Ich habe es ist ein Geschäft gekauft, es ist kein Geschenk.;Ich habe es in gekauft, es ist kein Geschenk.;3
Ich habe es in gekauft, es ist nicht Geschenk.;Ich habe es in gekauft, es ist kein Geschenk.;2
Ich habe dieses Kleid schon drei Jahren.;Ich habe dieses Kleid schon seit drei Jahren.;2
Ich habe es l etztem Jahr zuletzt angezogen.;Ich habe es letzten etztem Jahr zuletzt angezogen.;2
Ich habe dieses Kleid am mein Abschlussfeier in der neunten Klasse angezogen.;Ich habe dieses Kleid zu Abschlussfeier in der neunten Klasse angezogen.;2
Ein Treidler hat ein Brat und einen Schnurbart.;Ein Treidler hat einen Bart und einen Schnurbart.;2
Ein Treidler hat einen Bart und die Schnurrbärte.;Ein Treidler hat einen Bart und einen Schnurbart.;3
Dieser Mann hat trübe Augen und breite Augenbraten.;Dieser Mann hat trübe Augen und breite Augenbrauen.;3
In diese Geschichte sehen wir sehen drei Männer.;In diese Geschichte wir sehen drei Männer.;2
Der erste Mann hat eine hohe Stirn, dicke Augebrauen und eine ange Nase.;Der erste Mann hat eine hohe Stirn, dicke Augebrauen und eine enge Nase.;2
Diese Mann hat das Buch aus dem Regal genommen.;Dieser Mann hat das Buch aus dem Regal genommen.;2
Die dritte Man hat eine hagere Gestalt.;Der dritte Mann hat eine hagere Gestalt.;2
Seine Augen sind groß, seine Ohre sind abstehend und er hat eine Stupsnase.;Seine Augen sind groß, seine Ohren sind abstehend und er hat eine Stupsnase.;2
Seine Augen sind groß, seine Ohren sind abstehende und er hat eine Stupsnase.;Seine Augen sind groß, seine Ohren sind abstehend und er hat eine Stupsnase.;2
Seine Augen sind groß, seine Ohren sind abstehend und er hat die Stupsnase.;Seine Augen sind groß, seine Ohren sind abstehend und er hat eine Stupsnase.;1
Er hat das Buch langweilich gefunden, so er ist eingeschlaben.;Er hat das Buch langweilich gefunden, so er ist eingeschlafen.;2
Sie ist klassisch, und wunderschön Ich habe nur eine Hose, aber die gefällt mir am besten.;Sie ist klassisch, und wunderschön. Ich habe nur eine Hose, aber die gefällt mir am besten.;1
Sie ist klassisch, aber wunderschön. Ich habe nur eine Hose, aber die gefällt mir am besten.;Sie ist klassisch, und wunderschön. Ich habe nur eine Hose, aber die gefällt mir am besten.;2
Sie ist klassisch, und wunderschön. Ich habe nur eine Hose, aber das gefällt mir am besten.;Sie ist klassisch, und wunderschön. Ich habe nur eine Hose, aber die gefällt mir am besten.;2
Ich habe sie in einem Geschäft mit meine Mutter gekauft.;Ich habe sie in einem Geschäft mit meiner Mutter gekauft.;2
Sie ist zwei Jahre alt, aber sieht sie aus wie neu.;Sie ist zwei Jahre alt, aber ht sie aus wie neu.;1
Er sicht müde aus.;Er sieht müde aus.;2
Er hat Runzel auf der Stirn.;Er hat Runzeln auf der Stirn.;2
Er hat die Haartolle und ein Bart.;Er hat die Haartolle und einen Bart.;2
Seine Haare sind glatte.;Seine Haare sind glatt.;1
Seine Stirn ist hohe.;Seine Stirn ist hoch.;2
Er hat tief gepflanzte Augen und Ringe unter den Augen.;Er hat tief gesetzte Augen und Ringe unter den Augen.;3
Ich danke dass sein Nase sehr schön ist.;Ich danke dass seine Nase sehr schön ist.;1
Ich danke dass seine Nase ist sehr schön.;Ich danke dass seine Nase sehr schön ist.;2
Die Wange sind eingefallen.;Die Wangen sind eingefallen.;2
Die Wangen sind eingefallene.;Die Wangen sind eingefallen.;2
Die Lippen sind volle.;Die Lippen sind voll.;1
Aber ich kann das nicht klar sehen weil hat er Schnurrbart auch.;Aber ich kann das nicht klar sehen weil er auch einen Schnurrbart hat.;2
Und ich kann nichts über sein Figur sagen aber es scheint mir dass er sehr schlank ist.;Und ich kann nichts über seine Figur sagen aber es scheint mir dass er sehr schlank ist.;2
Und ich kann nichts über seine Figur sagen aber es scheint mir dass er ist sehr schlank.;Und ich kann nichts über seine Figur sagen aber es scheint mir dass er sehr schlank ist.;2
Mein Liblingkleidungsstueck ist ein Pullover.;Mein Lieblingskleidungsstück ist ein Pullover.;2
Ich habe viele Pullover aber das hier gefaellt mir am besten.;Ich habe viele Pullover, aber das hier gefaellt mir am besten.;1
Ich habe er online gekauft.;Ich habe ihn online gekauft.;2
Ich ziehe er oft an, zuletzt gestern.;Ich ziehe ihn oft an, zuletzt gestern.;2
Er ist Jahr alt.;Er ist ein Jahr alt.;2
Die Landschaftsmalerei umfasst die Darstellung von Ausschnitten aus dem von der Natur als auch von Menschenhand bestimmten Raum.;Die Landschaftsmalerei umfasst die Darstellung von Ausschnitten aus dem von der Natur sowie auch von Menschenhand bestimmten Raum.;2
Bildgegenstand können konkrete und idealisierte natürliche Landschaften vom Hügelland bis zum Hochgebirge sein, beispielweise Seestücke, Flüsse, Bergseen und Gipfelformationen oder Motive an der Meeresküste.;Bildgegenstand können konkrete und idealisierte natürliche Landschaften vom Hügelland bis zum Hochgebirge sein, beispielsweise Seestücke, Flüsse, Bergseen und Gipfelformationen oder Motive an der Meeresküste.;2
Dieses Gemälde hat alle typisehen Merkmale der Landschaftsmalerei.;Dieses Gemälde hat alle typischen Merkmale der Landschaftsmalerei.;2
Durch die Kombination von Licht und Schatten sehaft der Künstler keine Harmonien im Gemälde.;Durch die Kombination von Licht und Schatten schafft der Künstler keine Harmonien im Gemälde.;2
Die Farben im Gemälde sind nicht sauber und rein, sondern gemischt, düstere und schreiende.;Die Farben im Gemälde sind nicht sauber und rein, sondern gemischt, düstere und schreiend.;2
Ich denke, wenn man sich Kunstwerke der Landsehaftsmalerei ansieht, beruhigt es ihn.;Ich denke, wenn man sich Kunstwerke der Landschaftsmalerei ansieht, beruhigt es ihn.;2
Die Ohren sind groß und anliegende.;Die Ohren sind groß und anliegend.;2
Im Allgemeinen sein Äußeres ist sehr abstoßend und düster.;Im Allgemeinen ist sein Äußeres sehr abstoßend und düster.;2
Dieses Bild zeigt die Landschaft.;Dieses Bild zeigt eine Landschaft.;1
Im Vordergrund befindet sich ein Fluss, entlang dem sich ein niedriger Zaun an der linken Seite befindet.;Im Vordergrund befindet sich ein Fluss, dem entlang sich ein niedriger Zaun an der linken Seite befindet.;2
Im Vordergrund befindet sich ein Fluss, dem entlang sich entlang des linken Ufers ein niedriger Zaun befindet.;Im Vordergrund befindet sich ein Fluss, dem entlang sich ein niedriger Zaun an der linken Seite befindet.;2
Es ist ein Tier am Fluss.;Am Fluss gibt es ein Tier.;1
Abbildung ist reich an grün.;Die Abbildung ist reich an grün.;1
Das Bild zeigt Menschen bei der Verrichtung seiner alltäglichen Arbeit.;Das Bild zeigt einen Menschen bei der Verrichtung seiner alltäglichen Arbeit.;1
Das Bild zeigt einen Menschen bei der Verrichtung ihrer alltäglichen Arbeit.;Das Bild zeigt einen Menschen bei der Verrichtung seiner alltäglichen Arbeit.;2
Das Bild zeigt einen Menschen bei der Verrichtung seiner alltäglichen Beschäftigungen.;Das Bild zeigt einen Menschen bei der Verrichtung seiner alltäglichen Arbeit.;1
